{0., 0.9986652840645932}	{0.5555555555555536, 1.0091336997129123}	{1.1111111111111072, 1.0197012655964888}	{1.666666666666661, 1.0303689608417275}	{2.2222222222222294, 1.0411377758586065}	{2.777777777777783, 1.052008712486101}	{3.3333333333333366, 1.062982784148583}	{3.88888888888889, 1.0740610160109834}	{4.444444444444444, 1.0852444451395435}	{4.999999999999997, 1.09653412065865}	{5.555555555555551, 1.107931103920805}	{6.11111111111112, 1.1194364686650908}	{6.666666666666673, 1.1310513011926786}	{7.222222222222227, 1.1427767005365854}	{7.77777777777778, 1.1546137786333546}	{8.333333333333334, 1.1665636605032512}	{8.888888888888888, 1.1786274844266833}	{9.444444444444441, 1.1908064021289617}	{9.999999999999995, 1.2031015789643942}	{10.555555555555548, 1.215514194109721}	{11.111111111111116, 1.2280454407459371}	{11.66666666666667, 1.2406965262595544}	{12.222222222222223, 1.2534686724409836}	{12.777777777777779, 1.2663631156800061}	{13.333333333333332, 1.2793811071727355}	{13.888888888888886, 1.2925239131305244}	{14.444444444444454, 1.305792814986224}	{15.000000000000007, 1.3191891096131276}	{15.55555555555556, 1.332714109536776}	{16.111111111111114, 1.3463691431614595}	{16.666666666666668, 1.36015555498992}	{17.22222222222222, 1.3740747058544394}	{17.777777777777775, 1.3881279731491296}	{18.33333333333333, 1.4023167510622734}	{18.888888888888882, 1.416642450820287}	{19.444444444444436, 1.4311065009270156}	{20.000000000000004, 1.4457103474151354}	{20.555555555555557, 1.460455454093816}	{21.11111111111111, 1.4753433028088716}	{21.666666666666664, 1.4903753936963553}	{22.222222222222218, 1.5055532454566238}	{22.777777777777786, 1.5208783956095147}	{23.33333333333334, 1.5363524007846965}	{23.888888888888893, 1.5519768369829727}	{24.444444444444446, 1.5677532998682986}	{25., 1.5836834050524438}	{25.555555555555557, 1.599768788384011}	{26.11111111111111, 1.616011106255172}	{26.666666666666664, 1.6324120358899126}	{27.222222222222218, 1.6489732756606443}	{27.77777777777777, 1.665696545398225}	{28.33333333333334, 1.68258358670769}	{28.888888888888893, 1.699636163296012}	{29.444444444444446, 1.7168560612915809}	{30., 1.7342450895893535}	{30.555555555555554, 1.751805080182456}	{31.11111111111112, 1.7695378885146003}	{31.666666666666675, 1.7874453938241321}	{32.22222222222223, 1.8055294995092444}	{32.77777777777778, 1.8237921334864309}	{33.333333333333336, 1.8422352485650146}	{33.88888888888889, 1.8608608228223382}	{34.44444444444444, 1.8796708599862357}	{35.00000000000001, 1.8986673898254989}	{35.55555555555556, 1.9178524685485028}	{36.111111111111114, 1.9372281792067252}	{36.66666666666667, 1.9567966321027057}	{37.22222222222223, 1.9765599652112058}	{37.77777777777778, 1.9965203446073112}	{38.333333333333336, 2.016679964894214}	{38.888888888888886, 2.0370410496482148}	{39.44444444444445, 2.05760585186571}	{40., 2.0783766544212154}	{40.555555555555564, 2.0993557705320294}	{41.111111111111114, 2.1205455442327286}	{41.66666666666667, 2.141948350853567}	{42.22222222222222, 2.1635665975175824}	{42.77777777777778, 2.1854027236317926}	{43.333333333333336, 2.2074592014048044}	{43.88888888888889, 2.2297385363581594}	{44.44444444444444, 2.2522432678563673}	{45., 2.274975969643611}	{45.55555555555556, 2.2979392503912304}	{46.111111111111114, 2.321135754251191}	{46.666666666666664, 2.344568161427429}	{47.22222222222222, 2.3682391887547802}	{47.77777777777777, 2.392151590276849}	{48.33333333333334, 2.416308157861284}	{48.88888888888889, 2.4407117217967014}	{49.44444444444445, 2.465365151419674}	{50., 2.4902713557481766}	{50.55555555555556, 2.5154332841269085}	{51.11111111111112, 2.5408539268839436}	{51.66666666666667, 2.56653631599828}	{52.22222222222223, 2.5924835257886167}	{52.77777777777778, 2.618698673602043}	{53.33333333333334, 2.6451849205246365}	{53.88888888888889, 2.67194547210368}	{54.44444444444445, 2.698983579087066}	{55., 2.7263025381654185}	{55.55555555555556, 2.7539056927425003}	{56.11111111111112, 2.7817964337115373}	{56.66666666666668, 2.809978200249675}	{57.22222222222223, 2.838454480628114}	{57.777777777777786, 2.867228813035019}	{58.333333333333336, 2.896304786418153}	{58.8888888888889, 2.9256860413406973}	{59.44444444444445, 2.955376270858069}	{60.00000000000001, 2.9853792214065877}	{60.55555555555556, 3.0156986937117685}	{61.111111111111114, 3.0463385437190658}	{61.66666666666667, 3.077302683531047}	{62.22222222222223, 3.108595082379654}	{62.77777777777778, 3.1402197676041173}	{63.333333333333336, 3.172180825651105}	{63.888888888888886, 3.2044824031042745}	{64.44444444444446, 3.2371287077187803}	{65.00000000000001, 3.2701240094901975}	{65.55555555555556, 3.303472641737789}	{66.11111111111111, 3.337179002211289}	{66.66666666666667, 3.3712475542205182}
{0., 0.9986652840645932}	{0.5555555555555536, 0.9986652840645932}	{1.1111111111111072, 0.9986652840645931}	{1.666666666666661, 0.9986652840645932}	{2.2222222222222294, 0.9986652840645932}	{2.777777777777783, 0.9986652840645932}	{3.3333333333333366, 0.9986652840645932}	{3.88888888888889, 0.9986652840645931}	{4.444444444444444, 0.9986652840645931}	{4.999999999999997, 0.9986652840645931}	{5.555555555555551, 0.9986652840645931}	{6.11111111111112, 0.9986652840645932}	{6.666666666666673, 0.9986652840645931}	{7.222222222222227, 0.9986652840645932}	{7.77777777777778, 0.9986652840645932}	{8.333333333333334, 0.9986652840645931}	{8.888888888888888, 0.9986652840645932}	{9.444444444444441, 0.9986652840645931}	{9.999999999999995, 0.9986652840645931}	{10.555555555555548, 0.9986652840645931}	{11.111111111111116, 0.9986652840645931}	{11.66666666666667, 0.9986652840645931}	{12.222222222222223, 0.9986652840645932}	{12.777777777777779, 0.9986652840645931}	{13.333333333333332, 0.9986652840645931}	{13.888888888888886, 0.9986652840645931}	{14.444444444444454, 0.9986652840645931}	{15.000000000000007, 0.9986652840645932}	{15.55555555555556, 0.9986652840645931}	{16.111111111111114, 0.9986652840645932}	{16.666666666666668, 0.9986652840645931}	{17.22222222222222, 0.9986652840645931}	{17.777777777777775, 0.9986652840645932}	{18.33333333333333, 0.9986652840645932}	{18.888888888888882, 0.9986652840645931}	{19.444444444444436, 0.9986652840645931}	{20.000000000000004, 0.9986652840645932}	{20.555555555555557, 0.9986652840645932}	{21.11111111111111, 0.9986652840645931}	{21.666666666666664, 0.9986652840645931}	{22.222222222222218, 0.9986652840645931}	{22.777777777777786, 0.9986652840645931}	{23.33333333333334, 0.9986652840645931}	{23.888888888888893, 0.9986652840645932}	{24.444444444444446, 0.9986652840645931}	{25., 0.9986652840645931}	{25.555555555555557, 0.9986652840645931}	{26.11111111111111, 0.9986652840645934}	{26.666666666666664, 0.9986652840645932}	{27.222222222222218, 0.9986652840645932}	{27.77777777777777, 0.9986652840645932}	{28.33333333333334, 0.9986652840645931}	{28.888888888888893, 0.9986652840645931}	{29.444444444444446, 0.9986652840645932}	{30., 0.9986652840645932}	{30.555555555555554, 0.9986652840645932}	{31.11111111111112, 0.9986652840645931}	{31.666666666666675, 0.9986652840645932}	{32.22222222222223, 0.9986652840645932}	{32.77777777777778, 0.9986652840645932}	{33.333333333333336, 0.9986652840645931}	{33.88888888888889, 0.9986652840645931}	{34.44444444444444, 0.9986652840645931}	{35.00000000000001, 0.9986652840645931}	{35.55555555555556, 0.9986652840645932}	{36.111111111111114, 0.9986652840645932}	{36.66666666666667, 0.9986652840645931}	{37.22222222222223, 0.9986652840645932}	{37.77777777777778, 0.9986652840645932}	{38.333333333333336, 0.9986652840645932}	{38.888888888888886, 0.9986652840645932}	{39.44444444444445, 0.9986652840645931}	{40., 0.9986652840645932}	{40.555555555555564, 0.9986652840645931}	{41.111111111111114, 0.9986652840645932}	{41.66666666666667, 0.9986652840645931}	{42.22222222222222, 0.9986652840645931}	{42.77777777777778, 0.9986652840645934}	{43.333333333333336, 0.9986652840645931}	{43.88888888888889, 0.9986652840645932}	{44.44444444444444, 0.9986652840645931}	{45., 0.9986652840645932}	{45.55555555555556, 0.9986652840645932}	{46.111111111111114, 0.9986652840645932}	{46.666666666666664, 0.9986652840645932}	{47.22222222222222, 0.9986652840645931}	{47.77777777777777, 0.9986652840645931}	{48.33333333333334, 0.9986652840645932}	{48.88888888888889, 0.9986652840645932}	{49.44444444444445, 0.9986652840645931}	{50., 0.9986652840645932}	{50.55555555555556, 0.9986652840645931}	{51.11111111111112, 0.9986652840645931}	{51.66666666666667, 0.9986652840645932}	{52.22222222222223, 0.9986652840645932}	{52.77777777777778, 0.9986652840645932}	{53.33333333333334, 0.9986652840645931}	{53.88888888888889, 0.9986652840645932}	{54.44444444444445, 0.9986652840645932}	{55., 0.9986652840645932}	{55.55555555555556, 0.9986652840645931}	{56.11111111111112, 0.9986652840645931}	{56.66666666666668, 0.9986652840645931}	{57.22222222222223, 0.9986652840645932}	{57.777777777777786, 0.9986652840645931}	{58.333333333333336, 0.9986652840645931}	{58.8888888888889, 0.9986652840645934}	{59.44444444444445, 0.9986652840645931}	{60.00000000000001, 0.9986652840645932}	{60.55555555555556, 0.9986652840645932}	{61.111111111111114, 0.9986652840645932}	{61.66666666666667, 0.9986652840645932}	{62.22222222222223, 0.9986652840645931}	{62.77777777777778, 0.9986652840645931}	{63.333333333333336, 0.9986652840645931}	{63.888888888888886, 0.9986652840645931}	{64.44444444444446, 0.9986652840645931}	{65.00000000000001, 0.9986652840645931}	{65.55555555555556, 0.9986652840645932}	{66.11111111111111, 0.9986652840645931}	{66.66666666666667, 0.9986652840645932}
{0., 0.9986652840645932}	{0.5555555555555536, 0.999209055383634}	{1.1111111111111072, 0.999755272735553}	{1.666666666666661, 1.0003039526005204}	{2.2222222222222294, 1.0008551116063407}	{2.777777777777783, 1.0014087665304576}	{3.3333333333333366, 1.001964934301542}	{3.88888888888889, 1.0025236320011246}	{4.444444444444444, 1.0030848768654974}	{4.999999999999997, 1.0036486862872203}	{5.555555555555551, 1.0042150778170507}	{6.11111111111112, 1.0047840691659353}	{6.666666666666673, 1.0053556782063648}	{7.222222222222227, 1.0059299229745435}	{7.77777777777778, 1.0065068216720623}	{8.333333333333334, 1.007086392668105}	{8.888888888888888, 1.007668654501041}	{9.444444444444441, 1.0082536258807304}	{9.999999999999995, 1.0088413256900965}	{10.555555555555548, 1.0094317729871707}	{11.111111111111116, 1.0100249870075542}	{11.66666666666667, 1.0106209871662533}	{12.222222222222223, 1.011219793059244}	{12.777777777777779, 1.0118214244666022}	{13.333333333333332, 1.0124259013538641}	{13.888888888888886, 1.0130332438743739}	{14.444444444444454, 1.0136434723716683}	{15.000000000000007, 1.014256607381539}	{15.55555555555556, 1.0148726696345065}	{16.111111111111114, 1.015491680057848}	{16.666666666666668, 1.0161136597781075}	{17.22222222222222, 1.0167386301234849}	{17.777777777777775, 1.0173666126261616}	{18.33333333333333, 1.0179976290248023}	{18.888888888888882, 1.0186317012668025}	{19.444444444444436, 1.0192688515113044}	{20.000000000000004, 1.019909102131077}	{20.555555555555557, 1.0205524757157471}	{21.11111111111111, 1.0211989950737912}	{21.666666666666664, 1.0218486832358844}	{22.222222222222218, 1.022501563456779}	{22.777777777777786, 1.0231576592190468}	{23.33333333333334, 1.0238169942346222}	{23.888888888888893, 1.0244795924486236}	{24.444444444444446, 1.025145478041914}	{25., 1.0258146754338708}	{25.555555555555557, 1.0264872092854653}	{26.11111111111111, 1.0271631045019114}	{26.666666666666664, 1.0278423862361943}	{27.222222222222218, 1.0285250798920569}	{27.77777777777777, 1.029211211126533}	{28.33333333333334, 1.0299008058540633}	{28.888888888888893, 1.0305938902486478}	{29.444444444444446, 1.031290490748198}	{30., 1.0319906340569125}	{30.555555555555554, 1.032694347149262}	{31.11111111111112, 1.0334016572729163}	{31.666666666666675, 1.0341125919526817}	{32.22222222222223, 1.0348271789937098}	{32.77777777777778, 1.0355454464850928}	{33.333333333333336, 1.0362674228035764}	{33.88888888888889, 1.0369931366171978}	{34.44444444444444, 1.0377226168889246}	{35.00000000000001, 1.0384558928807457}	{35.55555555555556, 1.039192994157127}	{36.111111111111114, 1.0399339505890894}	{36.66666666666667, 1.0406787923583702}	{37.22222222222223, 1.041427549961177}	{37.77777777777778, 1.0421802542123046}	{38.333333333333336, 1.0429369362494794}	{38.888888888888886, 1.0436976275374026}	{39.44444444444445, 1.0444623598722234}	{40., 1.045231165385735}	{40.555555555555564, 1.04600407654973}	{41.111111111111114, 1.0467811261807107}	{41.66666666666667, 1.0475623474444273}	{42.22222222222222, 1.0483477738603537}	{42.77777777777778, 1.0491374393064934}	{43.333333333333336, 1.0499313780242705}	{43.88888888888889, 1.0507296246231357}	{44.44444444444444, 1.0515322140858399}	{45., 1.0523391817730607}	{45.55555555555556, 1.0531505634289446}	{46.111111111111114, 1.0539663951860274}	{46.666666666666664, 1.0547867135705877}	{47.22222222222222, 1.0556115555076988}	{47.77777777777777, 1.0564409583274696}	{48.33333333333334, 1.0572749597694777}	{48.88888888888889, 1.0581135979893246}	{49.44444444444445, 1.0589569115638462}	{50., 1.0598049394973121}	{50.55555555555556, 1.0606577212267183}	{51.11111111111112, 1.0615152966284322}	{51.66666666666667, 1.0623777060239679}	{52.22222222222223, 1.0632449901862335}	{52.77777777777778, 1.0641171903458102}	{53.33333333333334, 1.064994348197504}	{53.88888888888889, 1.065876505906802}	{54.44444444444445, 1.0667637061162982}	{55., 1.067655991952847}	{55.55555555555556, 1.0685534070341205}	{56.11111111111112, 1.0694559954755785}	{56.66666666666668, 1.0703638018977994}	{57.22222222222223, 1.0712768714334224}	{57.777777777777786, 1.0721952497346623}	{58.333333333333336, 1.073118982980735}	{58.8888888888889, 1.0740481178853625}	{59.44444444444445, 1.0749827017046698}	{60.00000000000001, 1.0759227822449615}	{60.55555555555556, 1.0768684078705828}	{61.111111111111114, 1.0778196275122318}	{61.66666666666667, 1.0787764906752464}	{62.22222222222223, 1.0797390474479154}	{62.77777777777778, 1.0807073485100325}	{63.333333333333336, 1.0816814451417978}	{63.888888888888886, 1.0826613892325503}	{64.44444444444446, 1.0836472332897176}	{65.00000000000001, 1.0846390304482691}	{65.55555555555556, 1.085636834479792}	{66.11111111111111, 1.0866406998022682}	{66.66666666666667, 1.0876506814895157}
{0., 0.9986652840645932}	{0.5555555555555536, 0.9997321867280551}	{1.1111111111111072, 1.0008041696014611}	{1.666666666666661, 1.0018812685849268}	{2.2222222222222294, 1.002963519924548}	{2.777777777777783, 1.0040509602015104}	{3.3333333333333366, 1.0051436263406939}	{3.88888888888889, 1.0062415556155802}	{4.444444444444444, 1.007344785653232}	{4.999999999999997, 1.0084533544297354}	{5.555555555555551, 1.0095673002910224}	{6.11111111111112, 1.0106866619351842}	{6.666666666666673, 1.0118114784367598}	{7.222222222222227, 1.0129417892422237}	{7.77777777777778, 1.014077634174513}	{8.333333333333334, 1.0152190534374608}	{8.888888888888888, 1.0163660876238763}	{9.444444444444441, 1.0175187777102572}	{9.999999999999995, 1.018677165073935}	{10.555555555555548, 1.019841291497953}	{11.111111111111116, 1.021011199161127}	{11.66666666666667, 1.0221869306523612}	{12.222222222222223, 1.023368528984353}	{12.777777777777779, 1.0245560375810858}	{13.333333333333332, 1.0257495002918917}	{13.888888888888886, 1.0269489614018597}	{14.444444444444454, 1.0281544656261512}	{15.000000000000007, 1.0293660581261797}	{15.55555555555556, 1.0305837845014625}	{16.111111111111114, 1.0318076908117817}	{16.666666666666668, 1.0330378235676423}	{17.22222222222222, 1.034274229743255}	{17.777777777777775, 1.0355169567856806}	{18.33333333333333, 1.0367660526106774}	{18.888888888888882, 1.0380215656181262}	{19.444444444444436, 1.039283544691112}	{20.000000000000004, 1.0405520392085137}	{20.555555555555557, 1.0418270990430039}	{21.11111111111111, 1.043108774576755}	{21.666666666666664, 1.044397116695476}	{22.222222222222218, 1.0456921768128857}	{22.777777777777786, 1.0469940068515398}	{23.33333333333334, 1.0483026592837095}	{23.888888888888893, 1.0496181871039996}	{24.444444444444446, 1.0509406438569873}	{25., 1.052270083637141}	{25.555555555555557, 1.0536065610925645}	{26.11111111111111, 1.0549501314486047}	{26.666666666666664, 1.056300850490756}	{27.222222222222218, 1.0576587745887118}	{27.77777777777777, 1.0590239607014862}	{28.33333333333334, 1.0603964663782963}	{28.888888888888893, 1.0617763497795356}	{29.444444444444446, 1.0631636696634332}	{30., 1.0645584854167534}	{30.555555555555554, 1.0659608570474624}	{31.11111111111112, 1.0673708452035535}	{31.666666666666675, 1.0687885111701565}	{32.22222222222223, 1.0702139168871219}	{32.77777777777778, 1.071647124951376}	{33.333333333333336, 1.073088198631665}	{33.88888888888889, 1.0745372018746264}	{34.44444444444444, 1.0759941993126172}	{35.00000000000001, 1.0774592562709602}	{35.55555555555556, 1.0789324387834491}	{36.111111111111114, 1.0804138135999704}	{36.66666666666667, 1.0819034481890644}	{37.22222222222223, 1.08340141075512}	{37.77777777777778, 1.0849077702505194}	{38.333333333333336, 1.0864225963760894}	{38.888888888888886, 1.0879459596005245}	{39.44444444444445, 1.0894779311639076}	{40., 1.091018583093677}	{40.555555555555564, 1.092567988210363}	{41.111111111111114, 1.094126220147036}	{41.66666666666667, 1.095693353345904}	{42.22222222222222, 1.0972694630865598}	{42.77777777777778, 1.098854625480436}	{43.333333333333336, 1.1004489174994458}	{43.88888888888889, 1.102052416975316}	{44.44444444444444, 1.1036652026154552}	{45., 1.105287354017322}	{45.55555555555556, 1.1069189516791966}	{46.111111111111114, 1.1085600770085546}	{46.666666666666664, 1.110210812342005}	{47.22222222222222, 1.1118712409597833}	{47.77777777777777, 1.1135414470822527}	{48.33333333333334, 1.115221515911377}	{48.88888888888889, 1.1169115336179265}	{49.44444444444445, 1.1186115873695062}	{50., 1.1203217653427566}	{50.55555555555556, 1.122042156734495}	{51.11111111111112, 1.123772851782495}	{51.66666666666667, 1.1255139417696642}	{52.22222222222223, 1.127265519054633}	{52.77777777777778, 1.1290276770746968}	{53.33333333333334, 1.1308005103637395}	{53.88888888888889, 1.132584114570371}	{54.44444444444445, 1.1343785864810338}	{55., 1.1361840240210006}	{55.55555555555556, 1.1380005262838655}	{56.11111111111112, 1.1398281935437522}	{56.66666666666668, 1.1416671272735763}	{57.22222222222223, 1.1435174301647508}	{57.777777777777786, 1.1453792061403154}	{58.333333333333336, 1.147252560378939}	{58.8888888888889, 1.149137599328746}	{59.44444444444445, 1.1510344307318199}	{60.00000000000001, 1.152943163640296}	{60.55555555555556, 1.154863908432844}	{61.111111111111114, 1.1567967768452145}	{61.66666666666667, 1.1587418819753077}	{62.22222222222223, 1.160699338318687}	{62.77777777777778, 1.1626692617843726}	{63.333333333333336, 1.1646517697095458}	{63.888888888888886, 1.1666469808953228}	{64.44444444444446, 1.168655015616214}	{65.00000000000001, 1.1706759956513857}	{65.55555555555556, 1.1727100443037823}	{66.11111111111111, 1.1747572864261717}	{66.66666666666667, 1.1768178484418497}
