#T  I_200   I_111
0	1364.2932328273 63.615229502
1	1364.8296571272 63.8542211329
2	1368.9477115461 65.9017667236
3	1373.7783090818 69.4000803486
4	1377.3726425096 73.7765050898
5	1379.7863142075 78.802713405
