{0., 0.9986652840645932}	{0.43010752688171416, 0.9979218884739138}	{0.8602150537634431, 0.9971754128406684}	{1.2903225806451573, 0.9964258381417048}	{1.7204301075268862, 0.9956731451957557}	{2.1505376344086002, 0.9949173146692135}	{2.580645161290329, 0.9941583270642015}	{3.0107526881720434, 0.9933961627281425}	{3.4408602150537577, 0.9926308018424499}	{3.8709677419354867, 0.9918622244281999}	{4.3010752688172005, 0.9910904103385713}	{4.731182795698929, 0.9903153392618397}	{5.161290322580644, 0.9895369907169899}	{5.591397849462373, 0.9887553440538642}	{6.021505376344087, 0.9879703784469555}	{6.451612903225802, 0.9871820729017882}	{6.8817204301075305, 0.9863904062447449}	{7.311827956989244, 0.98559535712658}	{7.741935483870973, 0.9847969040170151}	{8.172043010752688, 0.9839950252072175}	{8.602150537634401, 0.9831896988033536}	{9.03225806451613, 0.9823809027278668}	{9.462365591397845, 0.9815686147159788}	{9.892473118279574, 0.9807528123129627}	{10.322580645161288, 0.9799334728767304}	{10.752688172043017, 0.9791105735687587}	{11.18279569892473, 0.9782840913567284}	{11.612903225806459, 0.977454003014678}	{12.043010752688174, 0.9766202851127412}	{12.473118279569889, 0.9757829140229657}	{12.903225806451617, 0.9749418659143534}	{13.333333333333332, 0.9740971167511658}	{13.763440860215061, 0.9732486422875303}	{14.193548387096774, 0.9723964180707605}	{14.623655913978489, 0.9715404194340945}	{15.053763440860218, 0.9706806214983621}	{15.483870967741932, 0.9698169991677273}	{15.913978494623661, 0.9689495271266143}	{16.344086021505376, 0.9680781798401102}	{16.774193548387103, 0.9672029315467127}	{17.20430107526882, 0.9663237562605927}	{17.634408602150547, 0.9654406277705113}	{18.06451612903226, 0.9645535196297466}	{18.494623655913976, 0.9636624051609163}	{18.924731182795703, 0.962767257449151}	{19.35483870967742, 0.9618680493438798}	{19.784946236559147, 0.9609647534515108}	{20.21505376344086, 0.9600573421334836}	{20.645161290322577, 0.9591457875078973}	{21.075268817204304, 0.9582300614420581}	{21.50537634408602, 0.9573101355519397}	{21.935483870967747, 0.9563859811986545}	{22.36559139784946, 0.9554575694864061}	{22.79569892473119, 0.9545248712590204}	{23.225806451612904, 0.9535878570974653}	{23.655913978494635, 0.9526464973165476}	{24.086021505376348, 0.9517007619606034}	{24.51612903225806, 0.9507506208053377}	{24.94623655913979, 0.9497960433482989}	{25.376344086021504, 0.9488369988107215}	{25.806451612903235, 0.9478734561327627}	{26.236559139784948, 0.9469053839683899}	{26.666666666666664, 0.9459327506871579}	{27.09677419354839, 0.9449555243644627}	{27.526881720430104, 0.9439736727830137}	{27.956989247311835, 0.9429871634300017}	{28.387096774193548, 0.9419959634895774}	{28.817204301075265, 0.9410000398407156}	{29.24731182795699, 0.9399993590585172}	{29.677419354838722, 0.9389938874039717}	{30.107526881720435, 0.9379835908238934}	{30.53763440860215, 0.9369684349474201}	{30.96774193548388, 0.9359483850826851}	{31.397849462365592, 0.9349234062094705}	{31.827956989247323, 0.9338934629798348}	{32.25806451612903, 0.9328585197131403}	{32.68817204301075, 0.9318185403911042}	{33.11827956989248, 0.9307734886541598}	{33.5483870967742, 0.9297233277985518}	{33.97849462365591, 0.9286680207714335}	{34.40860215053764, 0.9276075301666613}	{34.83870967741936, 0.9265418182216381}	{35.26881720430108, 0.9254708468115023}	{35.6989247311828, 0.924394577447511}	{36.12903225806452, 0.9233129712701171}	{36.55913978494624, 0.9222259890459665}	{36.98924731182796, 0.921133591162357}	{37.41935483870969, 0.9200357376250996}	{37.8494623655914, 0.9189323880523295}	{38.27956989247312, 0.9178235016691031}	{38.70967741935484, 0.9167090373041639}	{39.13978494623656, 0.9155889533855164}	{39.56989247311829, 0.9144632079340695}	{40., 0.9133317585598567}	{40.43010752688172, 0.9121945624578192}	{40.86021505376345, 0.911051576400756}	{41.29032258064517, 0.9099027567366005}	{41.72043010752689, 0.9087480593811922}	{42.15053763440861, 0.9075874398146798}	{42.58064516129032, 0.9064208530753134}	{43.01075268817205, 0.9052482537554548}	{43.440860215053775, 0.9040695959932018}	{43.87096774193549, 0.9028848334708137}	{44.30107526881721, 0.9016939194070757}	{44.73118279569893, 0.9004968065494025}	{45.16129032258065, 0.8992934471733173}	{45.591397849462375, 0.8980837930736223}	{46.021505376344095, 0.8968677955566943}	{46.45161290322581, 0.8956454054387721}	{46.881720430107535, 0.8944165730361314}	{47.311827956989255, 0.893181248161735}	{47.741935483870975, 0.8919393801169704}	{48.172043010752695, 0.8906909176863643}	{48.60215053763441, 0.8894358091322311}	{49.032258064516135, 0.8881740021845673}	{49.462365591397855, 0.8869054440391585}	{49.892473118279575, 0.8856300813469294}	{50.322580645161295, 0.8843478602106901}	{50.752688172043015, 0.883058726174864}	{51.182795698924735, 0.8817626242205394}	{51.612903225806456, 0.8804594987582796}
{0., 0.9986652840645932}	{0.43010752688171416, 0.9986652840645932}	{0.8602150537634431, 0.9986652840645931}	{1.2903225806451573, 0.9986652840645931}	{1.7204301075268862, 0.9986652840645931}	{2.1505376344086002, 0.9986652840645931}	{2.580645161290329, 0.9986652840645931}	{3.0107526881720434, 0.9986652840645931}	{3.4408602150537577, 0.9986652840645931}	{3.8709677419354867, 0.9986652840645932}	{4.3010752688172005, 0.9986652840645932}	{4.731182795698929, 0.9986652840645932}	{5.161290322580644, 0.9986652840645932}	{5.591397849462373, 0.9986652840645932}	{6.021505376344087, 0.9986652840645931}	{6.451612903225802, 0.9986652840645932}	{6.8817204301075305, 0.9986652840645932}	{7.311827956989244, 0.9986652840645931}	{7.741935483870973, 0.9986652840645932}	{8.172043010752688, 0.9986652840645932}	{8.602150537634401, 0.9986652840645932}	{9.03225806451613, 0.9986652840645932}	{9.462365591397845, 0.9986652840645932}	{9.892473118279574, 0.9986652840645931}	{10.322580645161288, 0.9986652840645931}	{10.752688172043017, 0.9986652840645932}	{11.18279569892473, 0.9986652840645931}	{11.612903225806459, 0.9986652840645932}	{12.043010752688174, 0.9986652840645932}	{12.473118279569889, 0.9986652840645931}	{12.903225806451617, 0.9986652840645931}	{13.333333333333332, 0.9986652840645931}	{13.763440860215061, 0.9986652840645932}	{14.193548387096774, 0.9986652840645931}	{14.623655913978489, 0.9986652840645931}	{15.053763440860218, 0.9986652840645934}	{15.483870967741932, 0.9986652840645931}	{15.913978494623661, 0.9986652840645932}	{16.344086021505376, 0.9986652840645934}	{16.774193548387103, 0.9986652840645932}	{17.20430107526882, 0.9986652840645932}	{17.634408602150547, 0.9986652840645931}	{18.06451612903226, 0.9986652840645931}	{18.494623655913976, 0.9986652840645932}	{18.924731182795703, 0.9986652840645931}	{19.35483870967742, 0.9986652840645932}	{19.784946236559147, 0.9986652840645931}	{20.21505376344086, 0.9986652840645931}	{20.645161290322577, 0.9986652840645932}	{21.075268817204304, 0.9986652840645932}	{21.50537634408602, 0.9986652840645932}	{21.935483870967747, 0.9986652840645932}	{22.36559139784946, 0.9986652840645932}	{22.79569892473119, 0.9986652840645932}	{23.225806451612904, 0.9986652840645932}	{23.655913978494635, 0.9986652840645931}	{24.086021505376348, 0.9986652840645932}	{24.51612903225806, 0.9986652840645932}	{24.94623655913979, 0.9986652840645932}	{25.376344086021504, 0.9986652840645932}	{25.806451612903235, 0.9986652840645931}	{26.236559139784948, 0.9986652840645932}	{26.666666666666664, 0.9986652840645931}	{27.09677419354839, 0.9986652840645932}	{27.526881720430104, 0.9986652840645932}	{27.956989247311835, 0.9986652840645931}	{28.387096774193548, 0.9986652840645932}	{28.817204301075265, 0.9986652840645931}	{29.24731182795699, 0.9986652840645931}	{29.677419354838722, 0.9986652840645932}	{30.107526881720435, 0.9986652840645932}	{30.53763440860215, 0.9986652840645934}	{30.96774193548388, 0.9986652840645932}	{31.397849462365592, 0.9986652840645932}	{31.827956989247323, 0.9986652840645932}	{32.25806451612903, 0.9986652840645932}	{32.68817204301075, 0.9986652840645932}	{33.11827956989248, 0.9986652840645932}	{33.5483870967742, 0.9986652840645931}	{33.97849462365591, 0.9986652840645932}	{34.40860215053764, 0.9986652840645932}	{34.83870967741936, 0.9986652840645932}	{35.26881720430108, 0.9986652840645931}	{35.6989247311828, 0.9986652840645931}	{36.12903225806452, 0.9986652840645931}	{36.55913978494624, 0.9986652840645932}	{36.98924731182796, 0.9986652840645932}	{37.41935483870969, 0.9986652840645931}	{37.8494623655914, 0.9986652840645931}	{38.27956989247312, 0.9986652840645931}	{38.70967741935484, 0.9986652840645931}	{39.13978494623656, 0.9986652840645931}	{39.56989247311829, 0.9986652840645931}	{40., 0.9986652840645931}	{40.43010752688172, 0.9986652840645931}	{40.86021505376345, 0.9986652840645932}	{41.29032258064517, 0.9986652840645932}	{41.72043010752689, 0.9986652840645931}	{42.15053763440861, 0.9986652840645932}	{42.58064516129032, 0.9986652840645931}	{43.01075268817205, 0.9986652840645932}	{43.440860215053775, 0.9986652840645932}	{43.87096774193549, 0.9986652840645932}	{44.30107526881721, 0.9986652840645931}	{44.73118279569893, 0.9986652840645932}	{45.16129032258065, 0.9986652840645932}	{45.591397849462375, 0.9986652840645931}	{46.021505376344095, 0.9986652840645931}	{46.45161290322581, 0.9986652840645932}	{46.881720430107535, 0.9986652840645932}	{47.311827956989255, 0.9986652840645932}	{47.741935483870975, 0.9986652840645931}	{48.172043010752695, 0.9986652840645932}	{48.60215053763441, 0.9986652840645931}	{49.032258064516135, 0.9986652840645932}	{49.462365591397855, 0.9986652840645932}	{49.892473118279575, 0.9986652840645931}	{50.322580645161295, 0.9986652840645932}	{50.752688172043015, 0.9986652840645932}	{51.182795698924735, 0.9986652840645932}	{51.612903225806456, 0.9986652840645931}
{0., 0.9986652840645932}	{0.43010752688171416, 0.9990565596905681}	{0.8602150537634431, 0.999449680282292}	{1.2903225806451573, 0.9998446588968207}	{1.7204301075268862, 1.000241508714713}	{2.1505376344086002, 1.0006402430408488}	{2.580645161290329, 1.0010408753069344}	{3.0107526881720434, 1.0014434190718247}	{3.4408602150537577, 1.0018478880240098}	{3.8709677419354867, 1.0022542959826417}	{4.3010752688172005, 1.0026626568992112}	{4.731182795698929, 1.0030729848591748}	{5.161290322580644, 1.0034852940836647}	{5.591397849462373, 1.003899598930655}	{6.021505376344087, 1.0043159138974238}	{6.451612903225802, 1.0047342536213517}	{6.8817204301075305, 1.0051546328823266}	{7.311827956989244, 1.005577066603962}	{7.741935483870973, 1.0060015698558462}	{8.172043010752688, 1.0064281578547816}	{8.602150537634401, 1.0068568459669924}	{9.03225806451613, 1.007287649709889}	{9.462365591397845, 1.0077205847537039}	{9.892473118279574, 1.008155666923682}	{10.322580645161288, 1.0085929122017123}	{10.752688172043017, 1.009032336728597}	{11.18279569892473, 1.0094739568057964}	{11.612903225806459, 1.009917788897191}	{12.043010752688174, 1.0103638496318226}	{12.473118279569889, 1.010812155805311}	{12.903225806451617, 1.0112627243820922}	{13.333333333333332, 1.0117155724976545}	{13.763440860215061, 1.0121707174608758}	{14.193548387096774, 1.0126281767556786}	{14.623655913978489, 1.0130879680438412}	{15.053763440860218, 1.01355010916675}	{15.483870967741932, 1.01401461814805}	{15.913978494623661, 1.0144815131958098}	{16.344086021505376, 1.0149508127048872}	{16.774193548387103, 1.0154225352594362}	{17.20430107526882, 1.0158966996353562}	{17.634408602150547, 1.0163733248022169}	{18.06451612903226, 1.0168524299267276}	{18.494623655913976, 1.0173340343745323}	{18.924731182795703, 1.017818157713241}	{19.35483870967742, 1.0183048197145834}	{19.784946236559147, 1.0187940403574425}	{20.21505376344086, 1.0192858398307005}	{20.645161290322577, 1.0197802385355783}	{21.075268817204304, 1.0202772570887906}	{21.50537634408602, 1.0207769163250262}	{21.935483870967747, 1.021279237300268}	{22.36559139784946, 1.021784241294337}	{22.79569892473119, 1.0222919498142087}	{23.225806451612904, 1.0228023845967023}	{23.655913978494635, 1.0233155676118586}	{24.086021505376348, 1.0238315210660651}	{24.51612903225806, 1.024350267404778}	{24.94623655913979, 1.0248718293164027}	{25.376344086021504, 1.0253962297350971}	{25.806451612903235, 1.0259234918442044}	{26.236559139784948, 1.026453639080014}	{26.666666666666664, 1.026986695134458}	{27.09677419354839, 1.0275226839594256}	{27.526881720430104, 1.0280616297698288}	{27.956989247311835, 1.0286035570471632}	{28.387096774193548, 1.0291484905436017}	{28.817204301075265, 1.0296964552854952}	{29.24731182795699, 1.0302474765769007}	{29.677419354838722, 1.0308015800039474}	{30.107526881720435, 1.0313587914384987}	{30.53763440860215, 1.0319191370420546}	{30.96774193548388, 1.0324826432699656}	{31.397849462365592, 1.0330493368756126}	{31.827956989247323, 1.033619244914497}	{32.25806451612903, 1.03419239474846}	{32.68817204301075, 1.0347688140500566}	{33.11827956989248, 1.03534853080722}	{33.5483870967742, 1.0359315733272259}	{33.97849462365591, 1.0365179702418659}	{34.40860215053764, 1.0371077505116133}	{34.83870967741936, 1.0377009434305264}	{35.26881720430108, 1.0382975786313293}	{35.6989247311828, 1.038897686089664}	{36.12903225806452, 1.0395012961296664}	{36.55913978494624, 1.0401084394287035}	{36.98924731182796, 1.0407191470228243}	{37.41935483870969, 1.0413334503115312}	{37.8494623655914, 1.041951381063474}	{38.27956989247312, 1.042572971421834}	{38.70967741935484, 1.0431982539097175}	{39.13978494623656, 1.043827261436022}	{39.56989247311829, 1.0444600273006601}	{40., 1.0450965852011604}	{40.43010752688172, 1.0457369692376313}	{40.86021505376345, 1.0463812139197899}	{41.29032258064517, 1.047029354172179}	{41.72043010752689, 1.0476814253412314}	{42.15053763440861, 1.0483374632010052}	{42.58064516129032, 1.0489975039600572}	{43.01075268817205, 1.0496615842677617}	{43.440860215053775, 1.0503297412213743}	{43.87096774193549, 1.0510020123724362}	{44.30107526881721, 1.0516784357340914}	{44.73118279569893, 1.0523590497881752}	{45.16129032258065, 1.053043893492045}	{45.591397849462375, 1.0537330062864187}	{46.021505376344095, 1.0544264281027447}	{46.45161290322581, 1.055124199370442}	{46.881720430107535, 1.0558263610254208}	{47.311827956989255, 1.05653295451723}	{47.741935483870975, 1.0572440218177128}	{48.172043010752695, 1.057959605429028}	{48.60215053763441, 1.058679748391744}	{49.032258064516135, 1.0594044942939806}	{49.462365591397855, 1.060133887279606}	{49.892473118279575, 1.0608679720573577}	{50.322580645161295, 1.0616067939097438}	{50.752688172043015, 1.0623503987023475}	{51.182795698924735, 1.0630988328932087}	{51.612903225806456, 1.0638521435424304}
{0., 0.9986652840645932}	{0.43010752688171416, 0.997550291801478}	{0.8602150537634431, 0.9964308889376096}	{1.2903225806451573, 0.9953070497827191}	{1.7204301075268862, 0.9941787484482661}	{2.1505376344086002, 0.9930459588606116}	{2.580645161290329, 0.9919086547325495}	{3.0107526881720434, 0.9907668095937483}	{3.4408602150537577, 0.9896203967587894}	{3.8709677419354867, 0.9884693893476773}	{4.3010752688172005, 0.9873137602706618}	{4.731182795698929, 0.9861534822319433}	{5.161290322580644, 0.9849885277266586}	{5.591397849462373, 0.983818869041886}	{6.021505376344087, 0.9826444782439796}	{6.451612903225802, 0.9814653271937515}	{6.8817204301075305, 0.9802813875307008}	{7.311827956989244, 0.9790926306755696}	{7.741935483870973, 0.9778990278269}	{8.172043010752688, 0.9767005499645862}	{8.602150537634401, 0.9754971678404578}	{9.03225806451613, 0.9742888519791605}	{9.462365591397845, 0.9730755726794463}	{9.892473118279574, 0.9718573000020392}	{10.322580645161288, 0.9706340037837209}	{10.752688172043017, 0.9694056536178475}	{11.18279569892473, 0.9681722188610524}	{11.612903225806459, 0.9669336686380545}	{12.043010752688174, 0.9656899718190408}	{12.473118279569889, 0.9644410970376284}	{12.903225806451617, 0.9631870126787124}	{13.333333333333332, 0.9619276868824199}	{13.763440860215061, 0.9606630875276805}	{14.193548387096774, 0.9593931822497995}	{14.623655913978489, 0.9581179384197271}	{15.053763440860218, 0.9568373231561768}	{15.483870967741932, 0.9555513033152645}	{15.913978494623661, 0.9542598454891685}	{16.344086021505376, 0.9529629160057372}	{16.774193548387103, 0.9516604809193016}	{17.20430107526882, 0.9503525060150017}	{17.634408602150547, 0.9490389568141258}	{18.06451612903226, 0.9477197985481577}	{18.494623655913976, 0.9463949961785822}	{18.924731182795703, 0.9450645143803068}	{19.35483870967742, 0.9437283175510452}	{19.784946236559147, 0.9423863697989815}	{20.21505376344086, 0.9410386349362391}	{20.645161290322577, 0.939685076492922}	{21.075268817204304, 0.9383256576996514}	{21.50537634408602, 0.9369603414894787}	{21.935483870967747, 0.9355890904953936}	{22.36559139784946, 0.9342118670471853}	{22.79569892473119, 0.9328286331692405}	{23.225806451612904, 0.9314393505758621}	{23.655913978494635, 0.9300439806705038}	{24.086021505376348, 0.9286424845369464}	{24.51612903225806, 0.9272348229489179}	{24.94623655913979, 0.9258209563525632}	{25.376344086021504, 0.924400844872688}	{25.806451612903235, 0.9229744483086882}	{26.236559139784948, 0.9215417261237814}	{26.666666666666664, 0.9201026374572154}	{27.09677419354839, 0.9186571411004405}	{27.526881720430104, 0.9172051955113841}	{27.956989247311835, 0.9157467588084249}	{28.387096774193548, 0.9142817887563782}	{28.817204301075265, 0.9128102427702959}	{29.24731182795699, 0.9113320779207599}	{29.677419354838722, 0.9098472509132451}	{30.107526881720435, 0.9083557180964376}	{30.53763440860215, 0.9068574354564545}	{30.96774193548388, 0.9053523586156498}	{31.397849462365592, 0.9038404428186093}	{31.827956989247323, 0.902321642940335}	{32.25806451612903, 0.9007959134802065}	{32.68817204301075, 0.8992632085552538}	{33.11827956989248, 0.8977234818953497}	{33.5483870967742, 0.8961766868465894}	{33.97849462365591, 0.8946227763604865}	{34.40860215053764, 0.893061702993201}	{34.83870967741936, 0.8914934189012237}	{35.26881720430108, 0.8899178758365381}	{35.6989247311828, 0.8883350251482258}	{36.12903225806452, 0.886744817769796}	{36.55913978494624, 0.8851472042230348}	{36.98924731182796, 0.8835421346063056}	{37.41935483870969, 0.881929558599791}	{37.8494623655914, 0.8803094254565543}	{38.27956989247312, 0.8786816839943986}	{38.70967741935484, 0.8770462826006028}	{39.13978494623656, 0.8754031692199217}	{39.56989247311829, 0.8737522913553885}	{40., 0.8720935960616776}	{40.43010752688172, 0.8704270299424931}	{40.86021505376345, 0.8687525391440795}	{41.29032258064517, 0.8670700693548872}	{41.72043010752689, 0.8653795657939829}	{42.15053763440861, 0.8636809732150138}	{42.58064516129032, 0.8619742358959697}	{43.01075268817205, 0.8602592976407869}	{43.440860215053775, 0.8585361017628177}	{43.87096774193549, 0.856804591095092}	{44.30107526881721, 0.8550647079796603}	{44.73118279569893, 0.8533163942536195}	{45.16129032258065, 0.8515595912625828}	{45.591397849462375, 0.8497942398439188}	{46.021505376344095, 0.8480202803208968}	{46.45161290322581, 0.8462376525069677}	{46.881720430107535, 0.8444462956917407}	{47.311827956989255, 0.8426461486428156}	{47.741935483870975, 0.8408371495961654}	{48.172043010752695, 0.8390192362540555}	{48.60215053763441, 0.8371923457833148}	{49.032258064516135, 0.8353564147987107}	{49.462365591397855, 0.8335113793723344}	{49.892473118279575, 0.8316571750197022}	{50.322580645161295, 0.8297937366987953}	{50.752688172043015, 0.8279209988005571}	{51.182795698924735, 0.8260388951478356}	{51.612903225806456, 0.8241473589894817}
